PermitNum,MasterPermitNum,Description,AppliedDate,IssuedDate,CompletedDate,StatusCurrent,OriginalAddress,OriginalCity,OriginalState,OriginalZip,PIN,ProjectName,PermitType,PermitWorkType,EstProjectCost,EstPhotovoltaicCost,EstSolarCost,NewHousingUnits,ExistingHousingUnits,AffordableHousingUnits,RemovedHousingUnits,AddedSqFt,RemodeledSqFt,RemovedResSqFt,RemovedNonResSqFt,RemovedParkingStructureSqFt,RemovedDescription,PhotovoltaicKilowatt,PhotovoltaicElecVehicleOffset,ElecVehicleChargeStation,SolarSystemDescription,ContractorCompanyName,ContractorTrade,ObjectId
ELE2021-00408,BLD-TWN2021-00004,"Existing house footprint and building envelope to remain as is.  Basement alterations:  insulate basement exterior walls with closed cell foam R19 or better; replacing a 60"" exterior double basement door with a 42"" single door utilizing existing header; adding bathroom/laundry in basement; adding living space in basement.  Second Floor Bathroom Alterations: replacing existing fixtures.  Front Entry Door: replacing existing door with the same size door in existing rough opening with existing header.  Replacing existing hot water heater with high efficiency tankless hot water heater.  Adding blown in cellulose in demising wall for and first floor ceiling for sound insulation.  All other mechanical systems to remain.  All other doors and windows to remain.",3/19/2021,,,Received,1195 BEAR MOUNTAIN DR,BOULDER,CO,80305,1.57707E+11,,Electrical Permit,Electrical Sub-Permit,6200,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,1
ELE2021-00409,BLD-SFD2021-00133,"Kitchen Remodel Only. Work to includes new electrical locations, plumbing work, cabinets, drywall, fixtures, appliances, paint, etc. There is a new door opening and wall removal. Please engineering letter for those details.",3/19/2021,,,Received,3380 LONGWOOD AVE,BOULDER,CO,80305,1.57717E+11,,Electrical Permit,Electrical Sub-Permit,6900,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,2
MEC2021-00491,,Install 29 gallon gas 36000 btu water heater,3/19/2021,,,Pending at Applicant,2630 IRIS AVE,BOULDER,CO,80304,1.4632E+11,,Mechanical Permit,Mechanical HVAC/Solar,1754,,,,,,,,,,,,,,,,,COLORADO HEATING COOLING INC dba SQUEAKS SERVICES,Contractor: Plumbing,3
MEC2021-00492,,Replace failed water heater,3/19/2021,3/23/2021,,Issued,775 HARTFORD DR,BOULDER,CO,80305,1.57708E+11,,Mechanical Permit,Mechanical HVAC/Solar,2024,,,,,,,,,,,,,,,,,"PLANET PLUMBING, INC",Contractor: General,4
MEC2021-00493,,Replace water heater like for like,3/19/2021,3/23/2021,,Issued,1770 LOMBARDY DR,BOULDER,CO,80304,1.46319E+11,,Mechanical Permit,Mechanical HVAC/Solar,1373,,,,,,,,,,,,,,,,,"SAVE HOME HEAT CO, INC",Contractor: General,5
MEC2021-00494,BLD-TWN2021-00004,"Existing house footprint and building envelope to remain as is.  Basement alterations:  insulate basement exterior walls with closed cell foam R19 or better; replacing a 60"" exterior double basement door with a 42"" single door utilizing existing header; adding bathroom/laundry in basement; adding living space in basement.  Second Floor Bathroom Alterations: replacing existing fixtures.  Front Entry Door: replacing existing door with the same size door in existing rough opening with existing header.  Replacing existing hot water heater with high efficiency tankless hot water heater.  Adding blown in cellulose in demising wall for and first floor ceiling for sound insulation.  All other mechanical systems to remain.  All other doors and windows to remain.",3/19/2021,,,Received,1195 BEAR MOUNTAIN DR,BOULDER,CO,80305,1.57707E+11,,Mechanical Permit,Mechanical Sub-Permit,3500,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,6
MEC2021-00495,BLD-SFD2021-00133,"Kitchen Remodel Only. Work to includes new electrical locations, plumbing work, cabinets, drywall, fixtures, appliances, paint, etc. There is a new door opening and wall removal. Please engineering letter for those details.",3/19/2021,,,Received,3380 LONGWOOD AVE,BOULDER,CO,80305,1.57717E+11,,Mechanical Permit,Mechanical Sub-Permit,1565,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,7
PLB2021-00170,BLD-TWN2021-00004,"Existing house footprint and building envelope to remain as is.  Basement alterations:  insulate basement exterior walls with closed cell foam R19 or better; replacing a 60"" exterior double basement door with a 42"" single door utilizing existing header; adding bathroom/laundry in basement; adding living space in basement.  Second Floor Bathroom Alterations: replacing existing fixtures.  Front Entry Door: replacing existing door with the same size door in existing rough opening with existing header.  Replacing existing hot water heater with high efficiency tankless hot water heater.  Adding blown in cellulose in demising wall for and first floor ceiling for sound insulation.  All other mechanical systems to remain.  All other doors and windows to remain.",3/19/2021,,,Received,1195 BEAR MOUNTAIN DR,BOULDER,CO,80305,1.57707E+11,,Plumbing Permit,Plumbing Sub-Permit,7640,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,8
PLB2021-00171,BLD-SFD2021-00133,"Kitchen Remodel Only. Work to includes new electrical locations, plumbing work, cabinets, drywall, fixtures, appliances, paint, etc. There is a new door opening and wall removal. Please engineering letter for those details.",3/19/2021,,,Received,3380 LONGWOOD AVE,BOULDER,CO,80305,1.57717E+11,,Plumbing Permit,Plumbing Sub-Permit,2900,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,9
PLB2021-00172,,"Install new plumbing stack for washer for 9 units in the building.  All plumbing will be cast iron due to size of building.  Each washer will have a dedicated 2"" drain that connects to the main 4"" line in underground parking garage.",3/19/2021,,,Pending at Applicant,635 MOHAWK DR 201,BOULDER,CO,80303,1.57704E+11,,Plumbing Permit,Plumbing Permit,54000,,,,,,,,,,,,,,,,,ACTION PLUMBING & A/C SERVICE,Contractor: Plumbing,10
