"Permit Number"|"Parent Permit Number"|"strap"|"Description"|"StreetNo_txt"|"StreetDir"|"StreetName"|"StreetType"|"Unit"|"Value Total"|"Issued Date"|"Finaled Date"|"Work Class"|"SCOPE"
"BLD-SFD2020-00101"|""|"R0611642"|"Building 3: Construction of a new, 3-story single family home with an attached 2-car garage. Unit to contain 4 bedrooms and 4.5 baths. Electrical service, 200 AMP."|"1335.0"|" "|"ZAMIA"|"AVE"|""|"343147"|"2020-07-23 00:00:00"|""|"New"|"NEW"
"ELE2020-00316"|"BLD-SFD2020-00101"|"R0611642"|"Building 3: Construction of a new, 3-story single family home with an attached 2-car garage. Unit to contain 4 bedrooms and 4.5 baths. Electrical service, 200 AMP."|"1335.0"|" "|"ZAMIA"|"AVE"|""|"12000"|"2020-07-23 00:00:00"|""|"Electrical Sub-Permit"|"ELM"
"MEC2020-00375"|"BLD-SFD2020-00101"|"R0611642"|"Building 3: Construction of a new, 3-story single family home with an attached 2-car garage. Unit to contain 4 bedrooms and 4.5 baths. Electrical service, 200 AMP."|"1335.0"|" "|"ZAMIA"|"AVE"|""|"18941"|"2020-07-23 00:00:00"|""|"Mechanical Sub-Permit"|"ELM"
"PLB2020-00166"|"BLD-SFD2020-00101"|"R0611642"|"Building 3: Construction of a new, 3-story single family home with an attached 2-car garage. Unit to contain 4 bedrooms and 4.5 baths. Electrical service, 200 AMP."|"1335.0"|" "|"ZAMIA"|"AVE"|""|"22373"|"2020-07-23 00:00:00"|""|"Plumbing Sub-Permit"|"ELM"
"UTL2020-00203"|"BLD-SFD2020-00101"|"R0611642"|"Building 3: Construction of a new, 3-story single family home with an attached 2-car garage. Unit to contain 4 bedrooms and 4.5 baths. Electrical service, 200 AMP."|"1335.0"|" "|"ZAMIA"|"AVE"|""|"0"|"2020-07-23 00:00:00"|""|"Utility Sub-Permit"|"OTH"
"BLD-TWN2020-00003"|""|"R0611642"|"Townhouse 1: Construction of a new 4-unit, 3-level, residential townhouse building. Each unit has a front porch, 4 bedrooms, 3.5 baths and washer/dryer. Each unit has it's own private 2-car garage. Each unit to have a 200 AMP electrical service."|"1330.0"|" "|"LEE HILL"|"DR"|""|"1169290"|"2020-07-13 00:00:00"|""|"New"|"NEW"
"ELE2020-00262"|"BLD-TWN2020-00003"|"R0611642"|"Townhouse 1: Construction of a new 4-unit, 3-level, residential townhouse building. Each unit has a front porch, 4 bedrooms, 3.5 baths and washer/dryer. Each unit has it's own private 2-car garage. Each unit to have a 200 AMP electrical service."|"1330.0"|" "|"LEE HILL"|"DR"|""|"38000"|"2020-07-07 00:00:00"|""|"Electrical Sub-Permit"|"ELM"
"MEC2020-00319"|"BLD-TWN2020-00003"|"R0611642"|"Townhouse 1: Construction of a new 4-unit, 3-level, residential townhouse building. Each unit has a front porch, 4 bedrooms, 3.5 baths and washer/dryer. Each unit has it's own private 2-car garage. Each unit to have a 200 AMP electrical service."|"1330.0"|" "|"LEE HILL"|"DR"|""|"67670"|"2020-07-07 00:00:00"|""|"Mechanical Sub-Permit"|"ELM"
"PLB2020-00140"|"BLD-TWN2020-00003"|"R0611642"|"Townhouse 1: Construction of a new 4-unit, 3-level, residential townhouse building. Each unit has a front porch, 4 bedrooms, 3.5 baths and washer/dryer. Each unit has it's own private 2-car garage. Each unit to have a 200 AMP electrical service."|"1330.0"|" "|"LEE HILL"|"DR"|""|"79237"|"2020-07-07 00:00:00"|""|"Plumbing Sub-Permit"|"ELM"
"UTL2020-00170"|"BLD-TWN2020-00003"|"R0611642"|"Townhouse 1: Construction of a new 4-unit, 3-level, residential townhouse building. Each unit has a front porch, 4 bedrooms, 3.5 baths and washer/dryer. Each unit has it's own private 2-car garage. Each unit to have a 200 AMP electrical service."|"1330.0"|" "|"LEE HILL"|"DR"|""|"0"|"2020-07-07 00:00:00"|""|"Utility Sub-Permit"|"OTH"
"FIR2020-00203"|""|"R0611642"|"Fire Alarm System"|"4760.0"|" "|"13TH"|"ST"|""|"9000"|"2020-06-22 00:00:00"|""|"Fire Permit"|"SPK"
